"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"MF";"MP";"PACKAGE";"PURCHASE-URL";
"1";"505110-1292";"505110-1292";"MOLEX_505110-1292";"J1";"Conn FPC Connector SKT 12 POS 0.5mm Solder RA SMD Embossed T/R";" 12 Position FFC, FPC Connector Contacts, Bottom 0.020 (0.50mm) Surface Mount, Right Angle ";"WM12368TR-ND";"Molex";"505110-1292";"None";"https://pricing.snapeda.com/search/part/505110-1292/?ref=eda";
"1";"QT Py SAMD21";"QT_PY";"QT_PY";"U1";"";"";"";"";"";"";"";
